2026-03-31T18:58:26Z	40.8931570000	29.3753256000
2026-03-31T18:58:27Z	40.8931586000	29.3753302000
2026-03-31T18:58:28Z	40.8931590000	29.3753329000
2026-03-31T18:58:29Z	40.8931591000	29.3753346000
2026-03-31T18:58:30Z	40.8931485000	29.3753053000
2026-03-31T18:58:32Z	40.8931427000	29.3752929000
2026-03-31T18:58:34Z	40.8931439000	29.3752970000
2026-03-31T18:58:36Z	40.8931441000	29.3752971000
2026-03-31T18:58:38Z	40.8931440000	29.3752971000
2026-03-31T18:58:39Z	40.8931355000	29.3752774000
2026-03-31T18:58:40Z	40.8931336000	29.3752734000
2026-03-31T18:58:41Z	40.8931337000	29.3752741000
2026-03-31T18:58:43Z	40.8931347000	29.3752777000
2026-03-31T18:58:44Z	40.8931350000	29.3752788000
2026-03-31T18:58:46Z	40.8931361000	29.3752824000
2026-03-31T18:58:47Z	40.8931345000	29.3752787000
2026-03-31T18:58:49Z	40.8931333000	29.3752774000
2026-03-31T18:58:50Z	40.8931335000	29.3752784000
2026-03-31T18:58:52Z	40.8931361000	29.3752826000
2026-03-31T18:58:54Z	40.8931415000	29.3752830000
2026-03-31T18:58:55Z	40.8931470000	29.3752882000
2026-03-31T18:58:56Z	40.8931508000	29.3752974000
2026-03-31T18:58:57Z	40.8931460000	29.3752981000
2026-03-31T18:58:59Z	40.8931390000	29.3753322000
2026-03-31T18:59:00Z	40.8931308000	29.3753527000
2026-03-31T18:59:02Z	40.8931238000	29.3753664000
2026-03-31T18:59:03Z	40.8931165000	29.3753778000
2026-03-31T18:59:04Z	40.8931098000	29.3753890000
2026-03-31T18:59:05Z	40.8931033000	29.3754002000
2026-03-31T18:59:07Z	40.8930945000	29.3754152000
2026-03-31T18:59:08Z	40.8930857000	29.3754239000
2026-03-31T18:59:09Z	40.8930765000	29.3754242000
2026-03-31T18:59:11Z	40.8930651000	29.3754315000
2026-03-31T18:59:12Z	40.8930548000	29.3754412000
2026-03-31T18:59:13Z	40.8930441000	29.3754501000
2026-03-31T18:59:14Z	40.8930348000	29.3754595000
2026-03-31T18:59:16Z	40.8930232000	29.3754749000
2026-03-31T18:59:17Z	40.8930139000	29.3754844000
2026-03-31T18:59:18Z	40.8930068000	29.3754881000
2026-03-31T18:59:20Z	40.8929943000	29.3754952000
2026-03-31T18:59:21Z	40.8929836000	29.3755022000
2026-03-31T18:59:22Z	40.8929752000	29.3755066000
2026-03-31T18:59:24Z	40.8929619000	29.3755089000
2026-03-31T18:59:25Z	40.8929502000	29.3755104000
2026-03-31T18:59:26Z	40.8929430000	29.3755114000
2026-03-31T18:59:27Z	40.8929353000	29.3755142000
2026-03-31T18:59:28Z	40.8929269000	29.3755178000
2026-03-31T18:59:30Z	40.8929124000	29.3755215000
2026-03-31T18:59:31Z	40.8928995000	29.3755251000
2026-03-31T18:59:32Z	40.8928873000	29.3755295000
2026-03-31T18:59:33Z	40.8928779000	29.3755332000
2026-03-31T18:59:35Z	40.8928640000	29.3755387000
2026-03-31T18:59:36Z	40.8928519000	29.3755432000
2026-03-31T18:59:37Z	40.8928425000	29.3755473000
2026-03-31T18:59:38Z	40.8928328000	29.3755513000
2026-03-31T18:59:40Z	40.8928216000	29.3755548000
2026-03-31T18:59:41Z	40.8928102000	29.3755580000
2026-03-31T18:59:42Z	40.8927949000	29.3755615000
2026-03-31T18:59:43Z	40.8927852000	29.3755650000
2026-03-31T18:59:44Z	40.8927762000	29.3755677000
2026-03-31T18:59:46Z	40.8927670000	29.3755711000
2026-03-31T18:59:47Z	40.8927554000	29.3755749000
2026-03-31T18:59:48Z	40.8927438000	29.3755797000
2026-03-31T18:59:49Z	40.8927350000	29.3755836000
2026-03-31T18:59:50Z	40.8927291000	29.3755860000
2026-03-31T18:59:52Z	40.8927174000	29.3755914000
2026-03-31T18:59:53Z	40.8927070000	29.3755944000
2026-03-31T18:59:54Z	40.8926991000	29.3755973000
2026-03-31T18:59:56Z	40.8926850000	29.3755999000
2026-03-31T18:59:57Z	40.8926733000	29.3756042000
2026-03-31T18:59:58Z	40.8926599000	29.3756086000
2026-03-31T18:59:59Z	40.8926505000	29.3756117000
2026-03-31T19:00:00Z	40.8926411000	29.3756134000
2026-03-31T19:00:02Z	40.8926304000	29.3756177000
